#DBH (cm) of Scalesia trees in permanent plots at Los Gemelos, Reference Area (RUBUS CONTROL, invaded by blackberry) 2014-19									
#DBH at 1.3 m in cm, NA means the tree died							

Plot	tree	Feb14	Sep14	Feb15	Aug15	Feb16	Feb17	Feb18	Mar19	Mar20	Mar21
6	11	18.62	18.62	18.78	19.42	NA	NA	NA	NA	NA	NA
6	12	11.94	12.89	14.16	14.96	15.60	16.39	16.71	16.87	NA	NA
7	1	13.69	13.69	13.69	NA	NA	NA	NA	NA	NA	NA
7	2	9.71	10.50	10.98	11.62	11.78	12.41	12.73	NA	NA	NA
7	3	5.73	6.37	6.37	6.68	6.84	7.32	7.80	7.96	NA	NA
7	4	9.87	10.19	10.19	10.82	10.98	11.78	12.73	12.89	13.05	NA
7	5	11.78	12.25	12.73	13.05	NA	NA	NA	NA	NA	NA
7	6	8.44	8.91	9.23	9.55	NA	NA	NA	NA	NA	NA
8	1	10.35	10.82	11.78	13.69	13.85	14.80	14.96	15.28	17.19	17.35
8	2	5.57	5.89	NA	NA	NA	NA	NA	NA	NA	NA
8	3	6.37	7.00	7.00	7.96	NA	8.28	8.91	8.91	NA	NA
8	4	7.80	8.44	8.91	10.19	10.35	11.14	11.94	12.73	13.69	14.01
8	5	8.44	9.87	10.35	10.98	11.30	12.10	12.10	NA	NA	NA
8	6	15.44	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	7	12.73	13.21	13.05	NA	NA	NA	NA	NA	NA	NA
8	8	6.37	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	9	14.96	14.96	15.12	16.39	16.39	17.51	17.83	NA	NA	NA
8	10	15.92	16.55	16.55	NA	NA	NA	NA	NA	NA	NA
8	11	8.91	9.23	10.82	11.14	11.30	12.41	12.89	13.53	14.80	15.92
8	12	6.37	6.68	NA	NA	NA	NA	NA	NA	NA	NA
8	13	14.80	15.12	14.96	15.28	NA	NA	NA	NA	NA	NA
8	14	10.50	10.82	10.82	10.82	NA	NA	NA	NA	NA	NA
8	15	10.35	10.19	10.66	11.14	11.30	11.46	11.78	12.57	12.73	13.37
8	16	8.91	10.19	10.50	NA	NA	NA	NA	NA	NA	NA
8	17	11.62	11.78	12.10	12.41	NA	NA	NA	NA	NA	NA
8	18	10.50	10.35	NA	NA	NA	NA	NA	NA	NA	NA
8	19	6.37	7.16	7.64	7.96	8.28	8.28	8.59	NA	NA	NA
8	20	9.87	11.30	11.30	11.78	11.78	NA	NA	NA	NA	NA
9	1	7.16	7.16	7.32	7.64	7.48	7.80	8.28	NA	NA	NA
9	2	5.89	6.05	6.05	NA	NA	NA	NA	NA	NA	NA
9	3	10.66	10.82	10.98	11.62	11.62	11.78	11.94	12.41	12.73	12.41
9	4	9.55	9.87	9.87	10.50	10.98	11.14	11.30	11.62	12.10	12.41
9	5	5.09	5.09	NA	NA	NA	NA	NA	NA	NA	NA
9	6	11.62	12.10	12.41	13.21	13.53	13.53	14.32	14.32	15.92	16.07
9	7	8.28	8.59	8.59	8.75	NA	NA	NA	NA	NA	NA
9	8	5.41	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	9	14.96	14.96	14.64	NA	NA	NA	NA	NA	NA	NA
9	10	11.62	11.78	12.10	12.41	12.57	12.73	NA	NA	NA	NA
9	11	12.41	12.73	13.37	14.01	14.16	14.16	NA	NA	NA	NA
9	12	12.41	13.69	14.01	15.12	15.12	15.44	15.44	15.76	15.92	16.07
9	13	6.37	7.00	7.32	7.80	8.12	8.28	8.75	9.23	10.50	10.82
9	14	6.53	6.68	7.00	7.32	7.16	7.64	7.96	7.96	8.59	9.07
9	15	6.05	6.21	6.21	6.21	6.21	NA	NA	NA	NA	NA
9	16	10.98	11.14	11.14	NA	NA	NA	NA	NA	NA	NA
9	17	10.35	10.50	10.98	10.98	11.14	NA	NA	NA	NA	NA
9	18	10.82	11.62	12.10	13.05	13.53	NA	NA	NA	NA	NA
9	19	6.21	6.68	6.84	7.64	7.80	NA	NA	NA	NA	NA
9	20	8.28	8.75	8.91	9.39	9.39	9.39	9.39	NA	NA	NA
9	21	6.68	7.48	7.64	9.23	9.87	NA	NA	NA	NA	NA
9	22	9.87	10.19	10.50	11.14	10.98	11.14	11.46	11.78	NA	NA
10	1	16.87	16.87	16.55	NA	NA	NA	NA	NA	NA	NA
10	2	6.68	7.32	7.64	8.75	8.91	10.03	10.03	NA	NA	NA
10	3	7.64	7.96	8.28	8.44	NA	NA	NA	NA	NA	NA
10	4	8.12	8.44	8.59	9.23	9.71	10.82	11.30	11.62	12.10	12.57
10	5	4.77	4.62	NA	NA	NA	NA	NA	NA	NA	NA
10	6	6.68	7.32	NA	NA	NA	NA	NA	NA	NA	NA
10	7	12.41	12.73	12.73	13.05	13.37	13.69	13.69	13.85	NA	NA
10	8	3.50	3.50	NA	NA	NA	NA	NA	NA	NA	NA
10	9	5.09	5.41	NA	NA	NA	NA	NA	NA	NA	NA
10	10	10.50	11.30	11.46	11.94	11.78	11.94	12.25	NA	NA	NA
10	11	6.84	7.16	7.00	NA	NA	NA	NA	NA	NA	NA
10	12	8.59	9.55	10.03	10.50	10.98	11.94	12.73	13.05	NA	NA
10	13	7.80	8.44	NA	NA	NA	NA	NA	NA	NA	NA
10	14	5.73	5.73	5.89	6.05	5.89	6.21	6.53	7.00	7.32	7.80
10	15	6.68	9.39	NA	NA	NA	NA	NA	NA	NA	NA
10	16	8.91	8.91	NA	NA	NA	NA	NA	NA	NA	NA
10	17	7.00	7.16	7.48	7.96	8.75	10.19	10.98	11.62	12.89	13.69
11	1	12.73	13.05	12.73	NA	NA	NA	NA	NA	NA	NA
11	2	10.19	10.35	10.35	10.66	NA	NA	NA	NA	NA	NA
11	3	11.78	12.25	12.41	12.73	12.73	12.89	13.05	13.05	13.69	14.01
11	4	15.76	15.92	15.92	16.87	16.55	NA	NA	NA	NA	NA
11	5	10.66	12.10	12.57	14.96	15.92	16.71	17.19	17.83	19.42	20.37
11	6	12.73	13.05	13.05	13.37	13.53	13.69	NA	NA	NA	NA
11	7	7.64	7.96	8.12	9.39	9.39	10.35	11.14	11.78	13.53	14.16
11	8	8.75	9.23	13.37	15.12	13.53	14.96	15.76	15.76	17.51	18.46
11	9	16.87	17.03	17.19	17.98	18.14	18.30	18.46	18.78	19.10	NA
11	10	9.87	10.35	10.03	11.62	11.62	11.94	12.57	12.89	14.01	14.32
12	1	11.46	12.10	12.57	12.89	14.01	14.64	14.96	15.44	16.23	16.07
12	2	13.05	14.16	14.32	14.96	14.16	14.48	NA	NA	NA	NA
12	3	17.67	17.83	18.14	18.46	18.46	NA	NA	NA	NA	NA
12	4	15.60	15.92	15.60	NA	NA	NA	NA	NA	NA	NA
12	5	13.53	14.01	15.92	15.92	NA	NA	NA	NA	NA	NA
12	6	11.62	12.10	12.41	12.73	12.89	13.21	13.69	13.85	14.64	NA
12	7	16.55	17.03	17.19	17.51	17.35	17.51	NA	NA	NA	NA
12	8	13.53	13.85	13.69	NA	NA	NA	NA	NA	NA	NA
12	9	13.37	13.85	14.01	14.48	14.48	15.12	15.92	16.39	17.67	17.98
12	10	14.96	15.76	16.39	16.87	17.51	18.14	19.26	20.21	21.33	22.28
13	1	11.14	11.78	11.94	12.57	12.89	13.85	14.96	14.96	17.19	18.14
13	2	9.39	10.50	10.98	11.14	11.30	11.62	11.78	11.78	12.10	12.57
13	3	7.16	7.96	8.59	8.59	NA	NA	NA	NA	NA	NA
13	4	7.00	7.64	7.96	8.91	9.23	9.71	9.71	10.35	11.62	12.25
13	5	7.48	7.80	7.64	8.75	8.59	9.39	9.87	11.14	12.73	13.37
13	6	7.16	8.12	7.96	8.91	8.91	9.39	10.19	11.30	12.73	13.21
13	7	7.00	7.80	7.64	9.07	9.39	9.71	10.19	11.14	12.41	13.05
13	8	5.89	6.37	6.37	7.16	7.48	7.80	8.12	8.75	10.35	11.14
13	9	5.57	5.73	5.73	NA	NA	NA	NA	NA	NA	NA
13	10	6.68	7.00	7.32	8.12	8.59	8.59	8.91	9.07	9.23	11.14
13	11	6.68	7.16	7.16	8.28	8.59	8.75	9.39	10.19	10.82	NA
13	12	7.96	8.28	8.28	8.75	9.07	9.39	9.55	9.55	10.03	9.71
13	13	9.23	10.03	10.50	12.10	12.73	13.69	14.32	14.32	14.64	17.67
13	14	7.64	7.96	8.28	8.75	9.23	8.91	9.23	9.55	10.35	10.98
13	15	10.98	11.30	11.46	11.78	11.94	12.10	12.10	12.41	NA	NA
13	16	9.39	10.35	10.50	10.82	10.98	11.62	11.94	12.41	NA	NA
14	1	10.03	10.19	10.19	10.50	10.66	10.82	10.82	NA	NA	NA
14	2	9.55	10.50	11.14	11.46	11.62	11.94	13.53	14.01	14.64	16.55
14	3	17.19	17.51	17.83	18.46	19.42	19.58	20.21	20.69	21.01	19.10
14	4	16.39	16.71	16.87	17.51	17.98	18.14	18.14	18.14	19.74	20.21
14	5	10.98	11.14	11.46	12.10	12.41	12.41	12.41	12.57	NA	NA
14	6	19.74	21.49	22.12	22.92	23.08	23.71	24.35	24.83	25.15	27.37
14	7	11.14	12.10	12.73	13.37	14.64	14.48	15.44	15.60	16.55	16.87
14	8	11.78	12.89	13.21	15.28	17.67	16.71	17.83	19.10	19.58	20.37
14	9	14.01	14.80	15.28	16.07	15.92	16.23	16.39	16.87	17.35	18.14
15	1	12.41	12.73	13.37	14.32	15.28	14.96	15.44	16.07	17.03	17.51
15	2	7.32	7.96	7.96	8.75	9.23	9.07	9.55	10.03	11.14	11.78
15	3	18.78	19.42	19.89	20.85	21.01	21.17	21.49	21.96	22.92	NA
15	4	18.94	20.37	20.69	21.49	22.28	22.60	NA	NA	NA	NA
15	5	23.08	23.24	23.87	24.83	25.46	25.78	26.26	26.74	28.01	NA
16	1	12.10	12.41	12.73	12.89	13.53	13.37	13.53	NA	NA	NA
16	2	15.28	16.55	17.19	17.51	17.83	18.30	18.78	19.10	NA	NA
16	3	17.03	17.83	17.83	18.14	18.14	18.30	18.62	18.78	NA	NA
16	4	14.64	14.96	14.96	15.60	15.76	16.07	16.23	16.39	16.87	16.87
16	5	20.37	21.33	21.65	22.28	21.96	NA	NA	NA	NA	NA
16	6	12.25	12.41	12.57	12.41	12.25	NA	NA	NA	NA	NA
17	1	11.78	12.89	13.05	13.69	13.85	14.01	14.32	NA	NA	NA
17	2	11.14	11.94	11.78	NA	NA	NA	NA	NA	NA	NA
17	3	12.57	12.89	12.89	13.53	13.69	13.69	14.01	14.48	14.64	14.96
17	4	8.44	8.75	8.91	9.23	9.23	NA	NA	NA	NA	NA
