#DBH of Scalesia trees in permanent plots at Los Gemelos, TREATMENT Area (blackberry control) 2014-19									
#NOTE: Data from Feb 2014 is from before control, September 2014 after control									
#DBH in cm at 1.3m, NA means tree died	

Plot	tree	Feb14	Sep14	Feb15	Aug15	Feb16	Feb17	Feb18	Mar19	Mar20	Mar21
8	2	10.19	11.78	11.62	12.41	12.73	13.53	14.64	15.12	16.07	16.23
8	3	12.73	13.37	13.37	14.64	14.96	15.92	16.87	17.35	17.51	NA
8	4	10.35	12.73	12.89	14.01	14.96	15.60	15.92	17.03	17.35	NA
8	5	8.12	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	1	7.48	7.64	7.96	9.23	9.39	9.71	10.66	11.14	11.46	NA
9	2	8.44	9.23	9.55	11.14	11.62	11.94	NA	NA	NA	NA
9	3	9.39	10.19	10.50	12.10	12.89	14.16	15.44	16.39	17.67	18.30
9	4	9.07	9.87	9.87	10.50	10.82	11.62	12.57	13.05	14.01	14.80
9	5	12.41	13.05	13.37	14.32	14.80	15.28	15.92	16.23	16.33	16.55
9	6	15.28	16.87	17.83	17.98	16.71	19.26	19.26	NA	NA	NA
9	7	13.37	13.37	13.69	13.85	14.48	14.80	14.96	14.96	15.60	NA
9	8	4.93	5.25	NA	NA	NA	NA	NA	NA	NA	NA
9	9	10.19	10.98	11.46	13.53	14.01	15.12	15.28	17.51	17.83	NA
9	10	15.76	15.92	16.23	18.94	19.58	21.49	23.24	24.51	NA	NA
9	11	7.80	7.80	7.80	7.96	7.80	8.44	8.75	8.91	NA	NA
9	12	8.28	9.07	9.07	9.39	9.07	9.23	NA	NA	NA	NA
9	13	10.82	11.14	11.14	11.94	11.78	12.41	12.73	12.89	13.37	13.21
9	14	16.23	16.55	17.03	18.62	19.74	20.53	21.33	21.65	22.76	22.92
9	15	4.46	4.62	4.46	NA	NA	NA	NA	NA	NA	NA
9	16	12.41	13.37	13.37	14.64	14.80	15.28	15.28	15.44	16.07	16.23
9	17	5.73	6.05	6.05	6.05	NA	NA	NA	NA	NA	NA
9	18	19.10	19.58	20.69	NA	NA	NA	NA	NA	NA	NA
9	19	11.62	11.94	12.10	13.37	13.69	14.16	14.32	NA	NA	NA
10	1	12.41	13.05	13.53	14.16	14.01	15.28	15.92	16.55	17.83	18.62
10	2	15.76	16.23	16.71	17.51	17.51	18.94	19.10	19.42	20.69	21.33
10	3	14.48	15.28	15.76	16.07	16.71	17.19	17.51	NA	NA	NA
10	4	14.64	14.96	14.96	15.92	NA	NA	NA	NA	NA	NA
10	5	9.87	10.35	10.50	10.50	10.98	11.30	12.25	12.57	13.37	13.69
10	6	9.23	9.55	9.55	9.71	10.19	10.50	10.50	10.82	11.14	11.14
10	7	10.66	11.14	11.62	11.78	12.73	13.05	13.05	13.21	14.80	14.32
10	8	8.28	8.59	8.59	8.59	9.07	8.91	NA	NA	NA	NA
10	9	7.00	7.32	7.80	7.96	7.96	7.96	8.12	8.12	NA	NA
10	10	15.44	16.39	16.71	18.14	19.42	20.53	21.65	22.76	24.99	26.26
10	11	19.58	19.89	19.89	20.69	22.12	NA	NA	NA	NA	NA
10	12	13.53	13.69	NA	NA	NA	NA	NA	NA	NA	NA
10	13	10.82	11.14	11.30	11.14	11.46	11.94	12.41	12.73	13.05	13.69
10	14	11.14	11.46	11.62	12.10	12.41	12.73	12.73	NA	NA	NA
10	15	16.23	17.03	16.87	17.51	17.98	18.78	19.26	19.74	21.65	NA
10	16	10.03	10.03	10.19	10.66	11.46	11.94	12.25	12.41	NA	NA
10	17	13.53	14.16	14.16	14.96	15.60	16.71	16.87	16.87	17.19	NA
10	18	9.07	8.91	NA	NA	NA	NA	NA	NA	NA	NA
10	19	11.94	12.41	12.89	13.37	14.16	14.64	16.55	17.19	17.51	18.78
11	1	8.91	9.23	9.39	9.87	13.21	10.50	10.50	10.50	10.66	NA
11	2	12.73	13.05	13.69	14.48	14.80	15.28	15.92	16.23	16.71	17.19
11	3	15.92	16.39	16.55	16.55	16.71	17.03	17.98	17.98	18.14	NA
11	4	13.37	13.69	14.16	14.32	14.80	14.96	15.28	15.60	15.92	17.51
11	5	10.98	11.62	11.78	12.25	13.69	NA	NA	NA	NA	NA
11	6	13.69	14.32	14.32	15.44	16.23	16.55	17.67	18.94	NA	NA
11	7	14.01	14.32	14.48	14.64	14.80	14.96	14.96	NA	NA	NA
11	8	12.10	12.89	NA	NA	NA	NA	NA	NA	NA	NA
11	9	13.69	14.16	14.16	14.64	14.96	15.28	15.28	NA	NA	NA
11	10	13.53	14.01	14.32	14.96	15.12	15.76	16.07	16.71	16.87	29.03
11	11	14.64	14.96	14.96	15.76	15.44	NA	NA	NA	NA	NA
11	12	12.89	13.53	13.85	14.96	15.92	16.39	17.67	18.46	19.42	20.69
11	13	13.85	14.16	14.01	NA	NA	NA	NA	NA	NA	NA
11	14	19.10	20.05	20.53	21.96	22.92	23.40	25.15	26.58	27.53	NA
11	15	10.66	11.46	11.62	12.25	12.57	13.37	14.01	14.01	14.32	NA
11	16	13.53	14.32	14.32	15.92	16.39	17.03	17.19	17.83	18.94	NA
12	1	12.89	13.37	14.01	14.96	16.23	NA	NA	NA	NA	NA
12	2	15.60	15.92	16.39	17.35	17.51	17.83	17.98	18.14	18.46	19.10
12	3	14.32	14.96	15.76	16.55	17.67	14.96	14.96	15.28	15.92	15.92
12	4	14.01	15.28	15.92	16.39	16.39	16.87	18.30	19.10	19.42	19.58
12	5	14.96	15.44	15.60	16.07	16.23	17.19	18.14	18.14	18.94	20.05
12	6	16.39	17.19	17.35	18.46	18.94	19.42	20.21	20.37	21.33	NA
13	1	7.64	7.96	8.28	8.75	9.87	10.50	9.87	10.03	NA	NA
13	2	8.28	8.75	8.75	9.23	9.39	9.87	9.87	10.03	10.35	NA
13	3	10.03	10.82	10.98	12.73	13.21	13.85	15.28	15.76	16.07	17.03
13	4	15.92	16.23	16.39	17.67	18.46	19.10	19.42	20.53	20.69	20.69
13	5	8.59	9.55	9.55	10.98	11.46	12.10	12.41	12.57	12.89	13.05
13	6	12.10	12.57	12.73	14.01	14.64	14.96	15.60	16.07	16.23	16.87
13	7	11.14	11.46	12.41	14.32	14.16	17.03	17.98	NA	NA	NA
13	8	11.78	12.73	12.10	13.37	13.53	13.69	13.69	13.85	14.80	15.44
13	9	12.41	12.89	13.37	13.85	14.16	14.64	14.96	15.28	15.60	16.07
13	10	5.57	6.21	6.05	6.53	6.68	6.84	NA	NA	NA	NA
13	11	8.59	8.75	9.07	9.87	9.55	NA	NA	NA	NA	NA
13	12	16.39	16.55	17.19	17.51	18.46	20.05	20.05	20.69	21.17	21.65
13	13	14.48	14.96	14.96	15.92	16.55	17.03	17.03	17.03	NA	NA
13	14	14.96	15.92	16.07	17.19	18.14	18.78	19.26	19.74	20.05	19.89
13	15	11.94	12.57	12.73	13.85	14.32	15.44	15.92	16.23	16.71	17.83
13	16	9.87	10.50	10.50	10.98	11.46	12.25	12.73	13.21	13.53	12.10
13	17	7.80	8.12	8.44	8.59	8.75	8.91	8.91	8.91	NA	NA
13	18	6.05	6.68	6.53	6.68	6.68	6.84	7.16	7.16	NA	NA
13	19	8.12	7.96	NA	NA	NA	NA	NA	NA	NA	NA
13	20	10.19	10.98	11.30	12.73	13.37	14.01	14.32	14.48	14.96	14.64
13	21	5.89	6.84	6.84	7.32	7.32	7.32	7.64	NA	NA	NA
14	1	10.03	10.82	11.78	11.78	12.41	13.53	14.16	14.64	14.96	15.28
14	2	7.64	7.80	NA	NA	NA	NA	NA	NA	NA	NA
14	3	11.46	12.10	12.10	12.57	NA	NA	NA	NA	NA	NA
14	4	14.01	14.64	15.12	16.23	17.51	18.14	19.10	20.05	21.33	21.80
14	5	10.35	11.14	11.46	13.21	13.53	14.32	14.96	15.60	16.23	16.39
14	6	12.89	13.69	14.01	15.44	15.92	16.87	17.35	17.83	18.46	18.62
14	7	8.12	8.28	NA	NA	NA	NA	NA	NA	NA	NA
14	8	18.78	19.42	19.74	20.21	21.33	21.96	22.92	23.55	NA	NA
14	9	12.10	13.05	13.05	14.01	14.16	14.32	14.32	14.64	NA	NA
14	10	8.28	7.80	7.80	NA	NA	NA	NA	NA	NA	NA
14	11	13.37	14.32	14.48	15.28	15.12	NA	NA	NA	NA	NA
14	12	6.21	6.05	NA	NA	NA	NA	NA	NA	NA	NA
14	13	14.01	14.48	14.80	16.39	17.19	17.98	18.78	19.74	21.80	22.12
14	14	10.35	10.50	10.98	12.10	12.57	13.53	14.64	NA	NA	NA
14	15	12.41	16.55	16.87	17.19	17.98	18.14	18.46	18.78	19.42	19.74
14	16	12.25	13.05	13.05	14.16	14.48	15.44	16.87	17.19	NA	NA
15	1	6.68	7.96	7.80	8.91	9.23	10.03	10.82	11.14	11.62	11.78
15	2	7.64	8.59	9.23	10.82	11.78	12.89	13.53	15.28	16.39	17.19
15	3	5.73	6.68	6.84	7.64	7.64	7.96	8.28	8.75	8.91	9.07
15	4	4.62	4.93	5.09	6.21	5.73	6.05	6.05	6.37	NA	NA
15	5	10.66	10.82	10.82	11.94	13.05	12.73	NA	NA	NA	NA
15	6	10.82	11.30	11.14	12.10	13.05	NA	NA	NA	NA	NA
15	7	15.28	15.92	16.07	17.19	17.83	18.46	19.10	19.58	20.21	20.69
16	1	8.75	9.55	10.50	12.10	12.73	14.01	14.01	14.32	14.96	14.96
16	2	23.24	24.19	25.78	26.42	NA	NA	NA	NA	NA	NA
16	3	21.17	21.96	25.31	26.42	26.74	27.06	27.85	28.49	28.65	28.33
16	4	12.89	13.69	14.64	16.39	17.19	18.46	18.94	19.42	20.21	20.21
16	5	9.55	9.55	NA	NA	NA	NA	NA	NA	NA	NA
16	6	11.94	13.05	13.69	15.28	15.60	16.55	17.03	17.19	17.51	17.51
16	7	8.12	8.75	NA	NA	NA	NA	NA	NA	NA	NA
16	8	13.53	15.28	15.76	17.03	17.98	19.42	20.37	21.17	22.28	23.08
16	9	8.75	9.71	10.35	12.10	12.41	13.85	15.28	15.92	16.71	17.51
16	10	17.67	18.78	18.78	19.89	20.05	25.31	NA	NA	NA	NA
16	11	19.89	20.37	20.69	21.01	NA	NA	NA	NA	NA	NA
17	1	10.50	11.30	11.62	13.21	14.64	16.39	16.87	18.46	19.74	21.65
17	2	8.59	9.39	10.03	9.87	10.03	10.66	11.14	11.62	12.10	12.41
17	3	4.93	5.09	NA	NA	NA	NA	NA	NA	NA	NA
17	4	8.44	8.91	8.91	9.55	9.71	10.66	10.66	11.62	13.37	14.96
17	5	13.37	14.01	14.01	14.96	15.12	NA	NA	NA	NA	NA
17	6	12.25	12.41	12.73	12.89	12.73	12.73	13.05	13.05	13.37	12.41
17	7	9.07	9.55	9.55	9.87	10.03	11.30	11.46	NA	NA	NA
17	8	4.93	5.09	5.09	5.25	5.09	NA	NA	NA	NA	11.46
17	9	7.80	7.96	8.28	9.07	9.07	9.71	10.03	10.35	10.66	10.82
17	10	7.96	8.12	8.28	8.59	9.07	9.71	10.66	10.66	12.41	11.94
17	11	7.32	7.48	7.64	8.75	8.91	9.39	10.03	10.66	12.10	12.41
17	12	8.59	8.91	8.91	9.39	9.39	9.55	9.87	NA	NA	NA
17	13	8.28	8.28	8.75	9.55	9.39	10.19	NA	NA	NA	NA
17	14	5.41	5.57	NA	NA	NA	NA	NA	NA	NA	NA
17	15	12.25	12.73	13.05	14.32	14.64	15.76	16.87	17.19	19.42	19.74
17	16	9.07	9.07	9.07	9.55	9.39	9.87	10.19	10.19	10.50	NA
17	17	5.09	5.41	5.57	5.73	5.89	6.21	6.68	7.32	7.96	8.44
17	18	8.28	8.59	8.91	8.91	8.91	9.39	9.87	10.19	10.35	10.66
17	19	7.80	7.80	7.96	8.12	7.96	7.96	8.28	8.28	NA	NA
17	20	6.05	6.53	6.53	7.96	7.96	7.96	8.12	NA	NA	NA
17	21	9.87	10.35	10.82	12.10	12.41	12.89	14.01	14.32	15.76	NA
17	22	6.37	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	23	6.37	6.84	7.16	7.32	NA	NA	NA	NA	NA	NA
17	24	11.14	11.78	11.78	12.41	12.73	13.37	13.85	14.01	14.32	14.16
17	25	4.46	4.46	4.46	4.93	4.62	NA	NA	NA	NA	NA
17	26	5.41	5.73	5.73	6.05	6.05	6.21	6.68	6.84	7.48	7.16
17	27	5.89	6.05	6.05	6.21	6.84	NA	NA	NA	NA	NA
17	28	11.14	11.94	12.10	12.25	13.05	14.16	14.48	15.76	17.83	17.51
17	29	7.32	7.64	7.64	7.64	7.64	7.64	7.80	7.96	NA	NA
17	30	9.55	9.55	9.55	9.87	10.66	10.82	10.98	11.46	11.46	11.78
17	31	14.64	15.28	15.92	17.03	16.39	NA	NA	NA	NA	NA
17	32	8.12	8.28	8.28	8.28	8.12	NA	NA	NA	NA	NA
17	33	6.37	6.68	6.37	6.37	NA	NA	NA	NA	NA	NA
17	34	5.25	5.41	NA	NA	NA	NA	NA	NA	NA	NA
17	35	4.46	5.09	5.09	5.25	4.93	4.93	NA	NA	NA	NA
17	36	4.77	5.09	4.77	5.25	5.57	5.73	6.21	6.84	7.32	7.48
17	37	4.62	4.62	NA	NA	NA	NA	NA	NA	NA	NA
17	38	5.41	5.41	5.09	NA	NA	NA	NA	NA	NA	NA
